,$CMD$.small,$CMD$.small_v2
0,"[{'main': ""printf 'x: 8 \\ny: 6' > results/coordinates.yaml""}]",
1,"[{'main': ""printf 'x: 9 \\ny: 5' > results/coordinates.yaml""}]",
2,"[{'main': ""printf 'x: 8 \\ny: 4' > results/coordinates.yaml""}]",
3,"[{'main': ""printf 'x: 7 \\ny: 5' > results/coordinates.yaml""}]",
4,"[{'main': ""printf 'x: 8 \\ny: 7' > results/coordinates.yaml""}]",
5,"[{'main': ""printf 'x: 10 \\ny: 5' > results/coordinates.yaml""}]",
6,"[{'main': ""printf 'x: 8 \\ny: 3' > results/coordinates.yaml""}]",
7,"[{'main': ""printf 'x: 6 \\ny: 5' > results/coordinates.yaml""}]",
8,"[{'main': ""printf 'x: 0\\ny: 0' > results/coordinates.yaml""}]",
9,"[{'main': ""printf 'x: 0\\ny: 1' > results/coordinates.yaml""}]",
10,"[{'main': ""printf 'x: 0\\ny: 2' > results/coordinates.yaml""}]",
11,"[{'main': ""printf 'x: 1\\ny: 0' > results/coordinates.yaml""}]",
12,"[{'main': ""printf 'x: 1\\ny: 1' > results/coordinates.yaml""}]",
13,"[{'main': ""printf 'x: 1\\ny: 2' > results/coordinates.yaml""}]",
14,"[{'main': ""printf 'x: 2\\ny: 0' > results/coordinates.yaml""}]",
15,"[{'main': ""printf 'x: 2\\ny: 1' > results/coordinates.yaml""}]",
16,"[{'main': ""printf 'x: 2\\ny: 2' > results/coordinates.yaml""}]",
17,,"[{'main': ""printf 'x: 0\\ny: 3' > results/coordinates.yaml""}]"
18,,"[{'main': ""printf 'x: 0\\ny: 4' > results/coordinates.yaml""}]"
19,,"[{'main': ""printf 'x: 1\\ny: 3' > results/coordinates.yaml""}]"
20,,"[{'main': ""printf 'x: 1\\ny: 4' > results/coordinates.yaml""}]"
21,,"[{'main': ""printf 'x: 2\\ny: 3' > results/coordinates.yaml""}]"
22,,"[{'main': ""printf 'x: 2\\ny: 4' > results/coordinates.yaml""}]"
23,,"[{'main': ""printf 'x: -1\\ny: 3' > results/coordinates.yaml""}]"
24,,"[{'main': ""printf 'x: 3\\ny: 3' > results/coordinates.yaml""}]"
25,,"[{'main': ""printf 'x: 1\\ny: 5' > results/coordinates.yaml""}]"
